index,小区名称,所在区域,总价,总价单位,单价,单价单位,房屋年代,户型,楼层,建筑面积,房屋朝向,装修情况,梯户比例,配备电梯,产权年限
25,香城花园三区,相城 元和 ,288,万,22678,元/平米,2008年建/板楼,3室2厅1厨2卫,中楼层 (共11层),127㎡,南 北,精装,两梯两户,有,70年
26,万泾花园,相城 元和 内环至中环,238,万,18685,元/平米,未知年建/板楼,3室2厅1厨2卫,低楼层 (共30层),127.38㎡,南,毛坯,两梯四户,有,70年
27,华润城立方,相城 活力岛 内环至中环,285,万,29859,元/平米,2015年建/板楼,3室2厅1厨2卫,低楼层 (共17层),95.45㎡,南,精装,两梯六户,有,70年
28,万科北宸之光,相城 活力岛 内环至中环,188,万,27648,元/平米,2016年建/板塔结合,2室2厅1厨1卫,高楼层 (共35层),68㎡,南 北,精装,两梯八户,有,70年
29,香城颐园,相城 元和 内环内,318,万,25002,元/平米,2011年建/板楼,3室2厅1厨2卫,低楼层 (共11层),127.19㎡,南,精装,一梯两户,有,70年
30,康桥溪岸花园,相城 活力岛 内环内,250,万,20611,元/平米,2014年建/塔楼,4室2厅1厨2卫,高楼层 (共33层),121.3㎡,南,毛坯,三梯四户,有,70年
31,尚景湾,相城 黄桥 内环至中环,265,万,19777,元/平米,2015年建/板楼,4室2厅1厨2卫,低楼层 (共18层),134㎡,南,毛坯,两梯两户,有,70年
32,招商依云华苑,相城 活力岛 内环至中环,320,万,24838,元/平米,2016年建/板楼,4室1厅1厨2卫,中楼层 (共27层),128.84㎡,南,精装,两梯四户,有,70年
33,欧风丽苑,相城 元和 ,195,万,22797,元/平米,2009年建/塔楼,2室2厅1厨1卫,低楼层 (共6层),85.54㎡,南 北,简装,一梯两户,无,70年
34,欧风丽苑,相城 元和 ,265,万,20385,元/平米,2009年建/塔楼,3室2厅1厨2卫,低楼层 (共17层),130㎡,南,精装,两梯两户,有,70年
35,万科北宸之光,相城 活力岛 内环至中环,218,万,26266,元/平米,2017年建/板塔结合,3室2厅1厨1卫,低楼层 (共34层),83㎡,南,精装,两梯四户,有,70年
36,海亮香榭里,相城 元和 内环内,355,万,30309,元/平米,未知年建/板楼,4室2厅1厨2卫,低楼层 (共27层),117.13㎡,南 北,精装,两梯四户,有,70年
37,合景峰汇九期,相城 活力岛 内环至中环,255,万,28643,元/平米,2013年建/板塔结合,3室2厅1厨1卫,中楼层 (共22层),89.03㎡,南,精装,两梯四户,有,70年
38,中粮祥云国际,相城 元和 内环至中环,235,万,25346,元/平米,2018年建/塔楼,3室2厅1厨1卫,低楼层 (共27层),92.72㎡,南,精装,两梯四户,有,70年
39,欧风丽苑,相城 元和 ,206,万,24236,元/平米,2009年建/塔楼,2室1厅1厨1卫,中楼层 (共6层),85㎡,南,精装,一梯两户,无,70年
40,玉盘家园,相城 渭塘 ,158,万,10897,元/平米,2004年建/板楼,4室2厅1厨2卫,中楼层 (共5层),145㎡,南,精装,一梯两户,无,70年
41,万宇名都花园,相城 元和 内环至中环,220,万,24042,元/平米,2014年建/塔楼,2室2厅1厨1卫,中楼层 (共16层),91.51㎡,南,精装,两梯三户,有,70年
42,康桥丽都,相城 元和 内环内,208,万,26380,元/平米,2009年建/板楼,2室2厅1厨1卫,低楼层 (共18层),78.85㎡,南,精装,两梯三户,有,70年
43,招商依云华苑,相城 活力岛 内环至中环,288,万,26123,元/平米,2016年建/板楼,3室2厅1厨2卫,高楼层 (共27层),110.25㎡,南,精装,两梯四户,有,70年
44,万科北宸之光,相城 活力岛 内环至中环,266,万,28310,元/平米,2017年建/板塔结合,4室2厅1厨1卫,中楼层 (共9层),93.96㎡,南 北,精装,两梯两户,有,70年
45,康桥丽都,相城 元和 内环内,72,万,20000,元/平米,2011年建/板楼,1室1厅1厨1卫,低楼层 (共20层),36㎡,南,精装,两梯十六户,有,70年
46,万科北宸之光,相城 活力岛 内环至中环,245,万,28489,元/平米,2017年建/板塔结合,3室2厅1厨1卫,中楼层 (共9层),86㎡,南,精装,两梯两户,有,70年
47,首开班芙春天花园,相城 活力岛 内环至中环,238,万,24082,元/平米,2013年建/板楼,3室2厅1厨1卫,低楼层 (共25层),98.83㎡,南,精装,两梯三户,有,70年
48,花南家园,相城 元和 ,182,万,23400,元/平米,2009年建/板楼,2室2厅1厨1卫,低楼层 (共23层),77.78㎡,南,简装,两梯四户,有,70年
49,太阳花园,相城 元和 内环至中环,225,万,18908,元/平米,2008年建/板楼,3室2厅1厨1卫,中楼层 (共10层),119㎡,南,精装,一梯两户,有,70年
50,香城颐园,相城 元和 内环内,365,万,28741,元/平米,2011年建/板楼,3室2厅1厨2卫,低楼层 (共11层),127㎡,南,精装,一梯两户,有,70年
51,香城花园一区,相城 元和 ,178,万,24723,元/平米,2012年建/板楼,2室1厅1厨1卫,中楼层 (共6层),72㎡,南,精装,一梯两户,无,70年
52,恒基水漾花城,相城 活力岛 内环内,218,万,24495,元/平米,2017年建/塔楼,3室2厅1厨1卫,低楼层 (共29层),89㎡,北 南,毛坯,两梯四户,有,70年
53,星湖花海,相城 元和 内环至中环,223,万,24240,元/平米,2015年建/板楼,3室2厅1厨1卫,低楼层 (共20层),92㎡,南 北,精装,两梯四户,有,70年
54,恒基水漾花城,相城 活力岛 内环内,395,万,23653,元/平米,2013年建/塔楼,5室2厅2厨3卫,中楼层 (共15层),167㎡,南,毛坯,两梯四户,有,70年
55,香城花园二区,相城 元和 ,245,万,23343,元/平米,2007年建/板楼,3室2厅1厨1卫,中楼层 (共5层),104.96㎡,南,精装,一梯两户,无,70年
56,恒基水漾花城,相城 活力岛 内环内,211,万,24253,元/平米,2017年建/塔楼,2室2厅1厨1卫,低楼层 (共30层),87㎡,南 北,毛坯,两梯四户,有,70年
57,招商依云华苑,相城 活力岛 内环至中环,263,万,29745,元/平米,2016年建/板楼,3室2厅1厨1卫,高楼层 (共27层),88.42㎡,南,精装,两梯四户,有,70年
58,欧风丽苑,相城 元和 ,210,万,23596,元/平米,2009年建/塔楼,2室2厅1厨1卫,高楼层 (共17层),89㎡,南,精装,两梯三户,有,70年
59,橡树湾花园,相城 活力岛 内环内,196,万,24593,元/平米,2013年建/板塔结合,2室2厅1厨1卫,低楼层 (共27层),79.7㎡,南,精装,两梯六户,有,70年
60,庆元家园,相城 元和 ,215,万,16667,元/平米,2009年建/板楼,3室2厅1厨1卫,低楼层 (共18层),129㎡,南 北,简装,两梯四户,有,70年
61,御窑花园,相城 活力岛 内环至中环,236,万,20702,元/平米,2006年建/板楼,3室2厅1厨1卫,低楼层 (共5层),114㎡,南,精装,一梯两户,无,70年
62,欧风丽苑,相城 元和 ,289,万,20643,元/平米,2009年建/塔楼,3室2厅1厨2卫,中楼层 (共15层),140㎡,西南,精装,两梯三户,有,70年
63,富元家园,相城 元和 ,153,万,18659,元/平米,未知年建/暂无数据,2室2厅1厨1卫,高楼层 (共31层),82㎡,南,简装,一梯四户,暂无数据,70年
64,玉成家园一期,相城 活力岛 内环至中环,147,万,22416,元/平米,2009年建/板楼,2室1厅1厨1卫,中楼层 (共18层),65.58㎡,南,精装,两梯四户,有,70年
65,欧风丽苑,相城 元和 ,205,万,24735,元/平米,2009年建/塔楼,2室1厅1厨1卫,高楼层 (共6层),82.88㎡,南,精装,一梯两户,无,70年
66,康桥溪岸花园,相城 活力岛 内环内,189,万,23334,元/平米,2013年建/塔楼,3室2厅1厨1卫,低楼层 (共33层),81㎡,南,精装,两梯四户,有,70年
67,紫薇花园,相城 望亭 ,105,万,14818,元/平米,2006年建/板楼,2室1厅1厨1卫,中楼层 (共5层),70.86㎡,南,精装,一梯两户,无,70年
68,恒基水漾花城,相城 活力岛 内环内,226,万,25117,元/平米,2017年建/塔楼,3室1厅1厨1卫,高楼层 (共15层),89.98㎡,南,精装,两梯四户,有,70年
69,姑苏裕沁庭,相城 活力岛 内环至中环,230,万,25556,元/平米,2016年建/塔楼,2室1厅1厨1卫,低楼层 (共31层),90㎡,南 北,精装,一梯三户,暂无数据,70年
70,元和之春,相城 元和 内环至中环,255,万,17466,元/平米,2006年建/板楼,3室2厅1厨2卫,中楼层 (共10层),146㎡,南 北,精装,一梯两户,无,70年
71,万科北宸之光,相城 活力岛 内环至中环,189,万,27795,元/平米,2016年建/板塔结合,2室1厅1厨1卫,中楼层 (共35层),68㎡,南,精装,两梯八户,有,70年
72,永金商业广场,相城 元和 内环至中环,77,万,15462,元/平米,2015年建/板塔结合,2室2厅1厨1卫,中楼层 (共21层),49.8㎡,东,精装,四梯二十一户,有,40年
73,佳兆业君汇上品,相城 黄桥 内环至中环,239,万,20783,元/平米,2015年建/板塔结合,4室2厅2厨2卫,中楼层 (共11层),115㎡,南,毛坯,一梯三户,有,70年
74,华润橡树湾3期,相城 活力岛 内环至中环,285,万,25767,元/平米,2016年建/塔楼,3室2厅1厨2卫,中楼层 (共22层),110.61㎡,南,简装,两梯三户,有,70年
75,合景峰汇四期,相城 活力岛 内环至中环,305,万,28241,元/平米,2011年建/板楼,4室2厅1厨2卫,中楼层 (共16层),108㎡,南,精装,两梯三户,有,70年
76,华润城立方,相城 活力岛 内环至中环,328,万,27334,元/平米,2015年建/板楼,4室2厅1厨2卫,低楼层 (共17层),120㎡,南,精装,两梯六户,有,70年
77,安元佳苑二区,相城 元和 内环至中环,162,万,17420,元/平米,2007年建/板楼,2室2厅1厨1卫,高楼层 (共5层),93㎡,南 北,毛坯,一梯两户,无,70年
78,万科北宸之光,相城 活力岛 内环至中环,248,万,28838,元/平米,2015年建/板塔结合,3室2厅1厨1卫,高楼层 (共9层),86㎡,南,精装,两梯两户,有,70年
79,环秀湖花园,相城 高铁新城 中环至外环,338,万,25607,元/平米,2017年建/板塔结合,3室2厅1厨2卫,中楼层 (共25层),132㎡,南 北,毛坯,一梯三户,有,70年
80,嘉元花园南区,相城 元和 内环至中环,166,万,25084,元/平米,2005年建/板楼,2室1厅1厨1卫,中楼层 (共5层),66.18㎡,南 北,简装,一梯两户,无,70年
81,首开班芙春天花园,相城 活力岛 内环至中环,308,万,21354,元/平米,2015年建/板楼,4室2厅1厨2卫,低楼层 (共25层),144.24㎡,南,精装,两梯三户,有,70年
82,晨曦印象花园,相城 元和 内环至中环,205,万,22044,元/平米,2010年建/板楼,2室2厅1厨1卫,低楼层 (共16层),93㎡,南,精装,两梯三户,有,70年
83,绿色时光花园西区,相城 元和 ,222,万,17796,元/平米,2014年建/板楼,3室2厅1厨2卫,低楼层 (共16层),124.75㎡,南 北,精装,两梯四户,有,70年
84,万科北宸之光,相城 活力岛 内环至中环,240,万,25264,元/平米,2016年建/板塔结合,4室2厅1厨1卫,高楼层 (共34层),95㎡,南 北,精装,两梯七户,有,70年
85,佳兆业君汇上品,相城 黄桥 内环至中环,205,万,22044,元/平米,2015年建/板塔结合,3室1厅1厨1卫,中楼层 (共24层),93㎡,南,毛坯,两梯四户,有,70年
86,橡树湾花园,相城 活力岛 内环内,104,万,23112,元/平米,2013年建/板塔结合,1室1厅0厨1卫,中楼层 (共27层),45㎡,南,精装,两梯六户,有,70年
87,尚景湾,相城 黄桥 内环至中环,218,万,22475,元/平米,2015年建/板楼,2室2厅0厨1卫,高楼层 (共18层),97㎡,南,精装,两梯两户,有,70年
88,凯翔国际广场公寓,相城 元和 外环外,128,万,14659,元/平米,2009年建/板楼,2室2厅1厨1卫,中楼层 (共33层),87.32㎡,东,精装,五梯三十四户,有,70年
89,橡树湾花园,相城 活力岛 内环内,112,万,24889,元/平米,2013年建/板塔结合,1室1厅0厨1卫,中楼层 (共27层),45㎡,南,精装,两梯六户,有,70年
90,中翔商贸城三区,相城 元和 内环至中环,78,万,16957,元/平米,2005年建/板楼,2室2厅1厨1卫,高楼层 (共8层),46㎡,东,精装,三梯四十三户,有,70年
91,泰元家园,相城 元和 内环至中环,145,万,20715,元/平米,2005年建/板楼,2室1厅1厨1卫,高楼层 (共6层),70㎡,南,简装,一梯两户,无,70年
92,庆元家园,相城 元和 ,155,万,19136,元/平米,2009年建/板楼,2室2厅1厨1卫,低楼层 (共18层),81㎡,南,简装,两梯四户,有,70年
93,西湖君庭,相城 活力岛 内环至中环,270,万,26863,元/平米,2016年建/板楼,3室2厅1厨2卫,中楼层 (共8层),100.51㎡,南,精装,一梯两户,有,70年
94,水韵花都家园,相城 活力岛 内环至中环,225,万,25084,元/平米,2011年建/板楼,2室2厅1厨1卫,高楼层 (共15层),89.7㎡,南,毛坯,两梯三户,有,70年
95,中翔商贸城三区,相城 元和 内环至中环,87,万,18726,元/平米,2005年建/板楼,2室2厅1厨1卫,中楼层 (共8层),46.46㎡,北,精装,三梯四十三户,有,50年
96,康桥丽都,相城 元和 内环内,69,万,19167,元/平米,2011年建/板楼,1室1厅0厨1卫,低楼层 (共20层),36㎡,南,精装,两梯十六户,有,70年
97,华宇锦绣花城,相城 黄埭 中环至外环,178,万,20460,元/平米,2019年建/板塔结合,3室2厅1厨1卫,低楼层 (共26层),87㎡,南,精装,一梯两户,有,70年
98,湖沁花园西区,相城 元和 内环至中环,185,万,16839,元/平米,2005年建/塔楼,3室2厅2厨2卫,中楼层 (共6层),109.87㎡,南 北,简装,一梯两户,无,70年
99,尚青景苑,相城 漕湖产业开发区 ,111,万,16568,元/平米,2015年建/板楼,2室1厅1厨1卫,中楼层 (共16层),67㎡,南,精装,一梯两户,有,70年
100,华辰嘉园北区,相城 活力岛 内环至中环,315,万,19688,元/平米,2010年建/板楼,5室2厅1厨2卫,高楼层 (共15层),160㎡,南,精装,两梯三户,有,70年
101,南亚花园,相城 元和 内环至中环,265,万,18077,元/平米,2005年建/板楼,3室2厅1厨2卫,低楼层 (共9层),146.6㎡,南,精装,一梯两户,有,70年
102,湖畔樾山,相城 阳澄湖 外环外,330,万,18540,元/平米,2019年建/板楼,4室2厅1厨2卫,低楼层 (共3层),178㎡,南,毛坯, , ,70年
103,欧风丽苑,相城 元和 ,155,万,20717,元/平米,2009年建/板楼,2室1厅1厨1卫,中楼层 (共5层),74.82㎡,南,精装,一梯十户,有,70年
104,凯翔国际广场公寓,相城 元和 外环外,110,万,14194,元/平米,2009年建/板楼,2室2厅1厨1卫,高楼层 (共33层),77.5㎡,北,简装,五梯二十四户,有,70年
105,御苑家园A区,相城 活力岛 ,180,万,23685,元/平米,2006年建/板楼,2室1厅1厨1卫,中楼层 (共5层),76㎡,南,精装,一梯两户,无,70年
106,天虹品上中心,相城 元和 内环至中环,66,万,12465,元/平米,未知年建/板楼,1室1厅1厨1卫,高楼层 (共26层),52.95㎡,西,简装,四梯二十七户,有,40年
107,晨曦馨苑,相城 元和 内环至中环,296,万,22836,元/平米,2008年建/板楼,3室2厅1厨2卫,高楼层 (共15层),129.62㎡,南 北,精装,两梯四户,有,70年
108,晨曦馨苑,相城 元和 内环至中环,288,万,23607,元/平米,2008年建/板楼,3室2厅1厨2卫,低楼层 (共15层),122㎡,东南 南,精装,两梯三户,有,70年
109,华辰嘉园南区,相城 活力岛 内环至中环,357,万,28399,元/平米,2008年建/板楼,3室1厅1厨2卫,中楼层 (共5层),125.71㎡,南 北,精装,一梯两户,无,70年
110,欧风丽苑,相城 元和 ,215,万,24637,元/平米,2009年建/塔楼,2室2厅1厨1卫,高楼层 (共6层),87.27㎡,南 北,精装,一梯两户,无,70年
111,万科北宸之光,相城 活力岛 内环至中环,238,万,25053,元/平米,2017年建/板塔结合,3室2厅1厨1卫,低楼层 (共34层),95㎡,南,精装,两梯四户,有,70年
112,香城花园三区,相城 元和 ,340,万,24150,元/平米,2008年建/板楼,4室2厅1厨2卫,低楼层 (共9层),140.79㎡,东 西,精装,两梯两户,有,70年
113,华辰嘉园北区,相城 活力岛 内环至中环,205,万,25319,元/平米,2010年建/板楼,2室2厅1厨1卫,高楼层 (共15层),80.97㎡,南,精装,两梯三户,有,70年
114,嘉和丽园,相城 元和 ,223,万,17840,元/平米,2005年建/板楼,3室1厅1厨2卫,低楼层 (共10层),125㎡,南,简装,一梯两户,有,70年
115,香城花园三区,相城 元和 ,235,万,24639,元/平米,2008年建/板楼,2室1厅1厨1卫,低楼层 (共6层),95.38㎡,南,简装,一梯两户,无,70年
116,尚景湾,相城 黄桥 内环至中环,230,万,23233,元/平米,2015年建/板楼,2室1厅1厨1卫,高楼层 (共18层),99㎡,南,毛坯,两梯两户,有,70年
117,万科北宸之光,相城 活力岛 内环至中环,234,万,27546,元/平米,2017年建/板塔结合,3室2厅1厨1卫,低楼层 (共10层),84.95㎡,南,精装,两梯两户,有,70年
118,华辰嘉园北区,相城 活力岛 内环至中环,296,万,24667,元/平米,2010年建/板楼,3室2厅1厨1卫,中楼层 (共15层),120㎡,南,精装,两梯两户,有,70年
119,合景峰汇四期,相城 活力岛 内环至中环,296,万,23493,元/平米,2016年建/板楼,4室2厅1厨2卫,低楼层 (共16层),126㎡,南 北,简装,两梯三户,有,70年
120,嘉和丽园,相城 元和 ,300,万,22124,元/平米,2005年建/板楼,4室2厅1厨2卫,中楼层 (共6层),135.6㎡,南 北,精装,一梯两户,无,70年
121,嘉和丽园,相城 元和 ,245,万,17754,元/平米,2005年建/板楼,4室2厅1厨2卫,低楼层 (共10层),138㎡,南 北,简装,一梯两户,有,70年
122,南山檀郡,相城 元和 内环内,400,万,31008,元/平米,2012年建/板楼,4室2厅1厨2卫,中楼层 (共6层),129㎡,南,精装,一梯两户,无,70年
123,香城花园三区,相城 元和 ,330,万,23440,元/平米,2008年建/板楼,4室1厅1厨2卫,高楼层 (共9层),140.79㎡,南,精装,两梯两户,有,70年
124,华润橡树湾3期,相城 活力岛 内环至中环,298,万,27091,元/平米,2016年建/塔楼,3室2厅1厨2卫,中楼层 (共22层),110㎡,南,简装,两梯三户,有,70年
125,万宇名都花园,相城 元和 内环至中环,220,万,22972,元/平米,2014年建/塔楼,2室2厅1厨1卫,中楼层 (共22层),95.77㎡,南 北,毛坯,两梯三户,有,70年
126,合景峰汇四期,相城 活力岛 内环至中环,360,万,28218,元/平米,2016年建/板楼,4室2厅1厨2卫,高楼层 (共16层),127.58㎡,南 北,精装,两梯三户,有,70年
127,晨曦馨苑,相城 元和 内环至中环,286,万,22000,元/平米,2008年建/板楼,3室2厅1厨2卫,低楼层 (共15层),130㎡,南,精装,两梯四户,有,70年
128,南亚花园,相城 元和 内环至中环,318,万,22554,元/平米,2005年建/板楼,3室2厅1厨2卫,高楼层 (共7层),141㎡,南,精装,一梯两户,有,70年
129,首开班芙春天花园,相城 活力岛 内环至中环,251,万,25100,元/平米,2012年建/板楼,3室2厅1厨1卫,高楼层 (共25层),100㎡,南,精装,两梯三户,有,70年
130,合景峰汇四期,相城 活力岛 内环至中环,255,万,27441,元/平米,2011年建/板楼,3室2厅1厨2卫,低楼层 (共16层),92.93㎡,南,精装,两梯三户,有,70年
131,万科北宸之光,相城 活力岛 内环至中环,254,万,29900,元/平米,2019年建/板塔结合,3室2厅1厨1卫,高楼层 (共31层),84.95㎡,南,精装,两梯三户,有,70年
132,建发中泱天成,相城 高铁新城 中环至外环,290,万,34940,元/平米,2017年建/板楼,3室2厅1厨1卫,低楼层 (共18层),83㎡,南,简装,两梯四户,有,70年
133,银丽高尔夫,相城 元和 内环内,1550,万,32701,元/平米,2012年建/板楼,5室3厅1厨4卫,低楼层 (共2层),474㎡,南,毛坯, , ,70年
134,凯翔国际广场公寓,相城 元和 外环外,258,万,10841,元/平米,2009年建/板楼,4室2厅1厨1卫,高楼层 (共33层),238㎡,南,精装,五梯十一户,有,70年
135,西湖君庭,相城 活力岛 内环至中环,360,万,29236,元/平米,2016年建/板楼,4室2厅1厨2卫,高楼层 (共9层),123.14㎡,南,精装,一梯两户,有,70年
136,海亮香榭时光,相城 元和 中环至外环,40,万,10000,元/平米,2016年建/板楼,1室1厅0厨1卫,中楼层 (共6层),40㎡,南,精装,一梯九十九户,无,40年
137,花好月圆,相城 元和 ,252,万,21356,元/平米,2012年建/板楼,3室2厅1厨2卫,低楼层 (共28层),118㎡,南,精装,两梯四户,有,70年
138,恒基水漾花城,相城 活力岛 内环内,365,万,26815,元/平米,2017年建/塔楼,3室2厅1厨2卫,中楼层 (共30层),136.12㎡,南 北,毛坯,两梯三户,有,70年
139,派克公寓,相城 元和 内环内,75,万,14243,元/平米,未知年建/板楼,1室1厅1厨1卫,低楼层 (共6层),52.66㎡,北,精装,两梯四十七户,有,70年
140,恒基水漾花城,相城 活力岛 内环内,300,万,24794,元/平米,2012年建/塔楼,3室2厅1厨2卫,中楼层 (共15层),121㎡,南,毛坯,两梯四户,有,70年
141,合景峰汇三期,相城 活力岛 内环至中环,470,万,27012,元/平米,2010年建/板楼,4室2厅1厨3卫,高楼层 (共23层),174㎡,南 北,精装,两梯两户,有,70年
142,香城花园三区,相城 元和 ,328,万,23099,元/平米,2008年建/板楼,4室2厅1厨2卫,中楼层 (共11层),142㎡,东 南,精装,两梯两户,有,70年
143,香城花园三区,相城 元和 ,255,万,23612,元/平米,2008年建/板楼,3室2厅1厨1卫,中楼层 (共6层),108㎡,南 北,精装,一梯两户,无,70年
144,誉相庭,相城 元和 内环至中环,320,万,27929,元/平米,2016年建/板楼,4室2厅1厨2卫,中楼层 (共18层),114.58㎡,南,精装,两梯三户,有,70年
145,冠城大通蓝湾,相城 黄埭 中环至外环,258,万,19682,元/平米,2012年建/板楼,3室2厅1厨2卫,中楼层 (共27层),131.09㎡,南,毛坯,两梯四户,有,70年
146,康锦苑,相城 元和 ,268,万,20627,元/平米,2008年建/板楼,3室2厅1厨2卫,高楼层 (共10层),129.93㎡,南,毛坯,两梯三户,有,70年
147,合景峰汇四期,相城 活力岛 内环至中环,291,万,26945,元/平米,2016年建/板楼,4室2厅1厨2卫,高楼层 (共16层),108㎡,南 北,精装,两梯三户,有,70年
148,万科北宸之光,相城 活力岛 内环至中环,290,万,30917,元/平米,2017年建/板塔结合,4室2厅1厨1卫,高楼层 (共9层),93.8㎡,南 北,精装,两梯两户,有,70年
149,水韵花都家园,相城 活力岛 内环至中环,430,万,20874,元/平米,2014年建/板楼,4室2厅1厨4卫,低楼层 (共15层),206㎡,南,精装,两梯两户,有,70年
150,万科北宸之光,相城 活力岛 内环至中环,240,万,26753,元/平米,2017年建/板塔结合,3室2厅1厨1卫,高楼层 (共34层),89.71㎡,南,精装,两梯两户,有,70年
151,金御华府,相城 活力岛 内环内,280,万,29113,元/平米,2015年建/板楼,3室2厅1厨2卫,中楼层 (共18层),96.18㎡,南,精装,两梯两户,有,70年
152,合景峰汇五期,相城 活力岛 内环至中环,289,万,29490,元/平米,2010年建/板楼,3室2厅1厨2卫,低楼层 (共18层),98㎡,南,毛坯,两梯三户,有,70年
153,合景峰汇八期,相城 活力岛 内环至中环,257,万,28877,元/平米,2010年建/板楼,3室2厅1厨1卫,中楼层 (共15层),89㎡,南,精装,两梯四户,有,70年
154,恒基水漾花城,相城 活力岛 内环内,235,万,26858,元/平米,2017年建/塔楼,3室2厅1厨1卫,高楼层 (共25层),87.5㎡,南,毛坯,两梯四户,有,70年
155,橡树湾花园,相城 活力岛 内环内,216,万,24270,元/平米,2013年建/板塔结合,3室2厅1厨1卫,低楼层 (共27层),89㎡,西南,毛坯,两梯六户,有,70年
